Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Reported quantity,Term,Unit,Purpose,Source
2004,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZW,,2,,2,tusks,tusks,T,W
2004,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,TR,ZA,BW,2,,2,tusks,tusks,T,W
2005,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,ZA,,,6,6,tusks,tusks,T,W
2006,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,GB,XX,,1,1,tusks,tusks,T,U
2006,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZW,,4,,4,tusks,tusks,T,W
2006,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZA,,,1,1,tusks,tusks,T,W
2008,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,GB,XX,,3,3,tusks,tusks,T,U
2008,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,BW,,,4054,4054,tusks,tusks,T,W
2008,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,NA,,,3751,3751,tusks,kg,T,W
2008,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,ZA,,,33003.5,33003.5,tusks,kg,T,W
2008,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,BW,,,2078,2078,tusks,tusks,T,W
2008,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,NA,,,3753,3753,tusks,kg,T,W
2008,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,ZA,,,17764.8,17764.8,tusks,kg,T,W
2008,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZA,,,1,1,tusks,tusks,T,W
2009,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZW,,4,,4,tusks,tusks,T,W
2009,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,BW,,26488.95,,26488.95,tusks,kg,T,W
2009,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,NA,,3751,,3751,tusks,kg,T,W
2009,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,ZA,,33003.5,,33003.5,tusks,kg,T,W
2009,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,ZW,,2554.85,,2554.85,tusks,kg,T,W
2009,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,ZW,,,32,32,tusks,kg,T,W
2010,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,AT,TZ,,4,4,tusks,tusks,T,W
2010,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MO,AT,TZ,4,,4,tusks,tusks,T,W
2010,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MX,MZ,,2,,2,tusks,tusks,T,W
2010,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,PT,MZ,,1,,1,tusks,tusks,T,W
2011,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,CM,,2,,2,tusks,tusks,T,W
2011,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,AT,CG,,1,1,tusks,tusks,T,W
2011,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,AT,KE,,12,12,tusks,tusks,T,W
2011,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,AT,SD,,2,2,tusks,tusks,T,W
2011,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FJ,FR,XX,2,,2,tusks,tusks,T,W
2011,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,HK,CH,TZ,,2,2,tusks,tusks,T,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,CH,TZ,,2,2,tusks,tusks,T,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,CH,TZ,2,2,2,tusks,tusks,T,U
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,CH,TZ,2,2,2,tusks,tusks,T,W
2012,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,NA,ZA,,,2,2,tusks,tusks,T,W
2012,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZA,,2,,2,tusks,tusks,T,W
2013,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,FR,CG,,2,2,tusks,tusks,T,W
2013,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,GB,XX,,2,2,tusks,tusks,T,U
2013,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZW,,2,,2,tusks,tusks,T,W
2013,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,,,2,2,tusks,tusks,T,W
2014,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CZ,ZW,,1,,1,tusks,tusks,T,W
